name	body_lines	line_ok	disable_model	invocation	use_when	desc_has_hangul	ref_dir	ref_depth_ok	ref_files
analyze-project	88	Y	false	model	N	Y	Y	Y	4
analyze-user	98	Y	false	model	N	Y	Y	Y	3
audit	115	Y	false	model	N	Y	Y	Y	4
autopilot-apply	190	Y	false	model	N	Y	N	-	0
autopilot-code	75	Y	false	model	N	Y	Y	Y	5
autopilot-design	315	Y	false	model	N	Y	N	-	0
autopilot-draft	127	Y	false	model	N	Y	Y	Y	4
autopilot-lab	204	Y	false	model	N	Y	Y	Y	5
autopilot-note	85	Y	false	model	N	Y	Y	Y	5
autopilot-refine	127	Y	false	model	N	Y	Y	Y	3
autopilot-research	127	Y	false	model	N	Y	Y	Y	4
autopilot-ship	241	Y	false	model	N	Y	N	-	0
autopilot-spec	103	Y	false	model	N	Y	Y	Y	4
code-execute	142	Y	false	model	N	Y	N	-	0
code-plan	89	Y	false	model	N	Y	N	-	0
code-refine	61	Y	false	model	N	Y	N	-	0
code-report	145	Y	false	model	N	Y	N	-	0
code-test	93	Y	false	model	N	Y	N	-	0
design-components	164	Y	false	model	N	Y	N	-	0
design-handoff	182	Y	false	model	N	Y	N	-	0
design-init	132	Y	false	model	N	Y	N	-	0
design-refs	124	Y	false	model	N	Y	N	-	0
design-review	137	Y	false	model	N	Y	N	-	0
design-tokens	212	Y	false	model	N	Y	N	-	0
draft-refine	278	Y	false	model	N	Y	N	-	0
draft-strategy	64	Y	false	model	N	Y	Y	Y	3
post-it	58	Y	false	model	N	Y	Y	Y	3
sync-skills	88	Y	false	model	N	Y	Y	Y	4
